_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
52,2012Q1,S08000017,"",S08000017,Lymphoma,"",2,"",2,""
53,2012Q1,S08000017,"",S08000017,Melanoma,"",3,"",3,""
54,2012Q1,S08000017,"",S08000017,Ovarian,"",2,"",2,""
55,2012Q1,S08000017,"",S08000017,Upper GI,"",17,"",17,""
56,2012Q1,S08000017,"",S08000017,Urological,"",17,"",17,""
57,2012Q1,S08000017,"",S08000024,All Cancer Types,d,16,"",14,""
58,2012Q1,S08000017,"",S08000024,Breast,"",3,"",3,""
59,2012Q1,S08000017,"",S08000024,Head & Neck,"",1,"",1,""
60,2012Q1,S08000017,"",S08000024,Lung,"",2,"",2,""
61,2012Q1,S08000017,"",S08000024,Melanoma,"",1,"",1,""
62,2012Q1,S08000017,"",S08000024,Ovarian,"",1,"",1,""
63,2012Q1,S08000017,"",S08000024,Upper GI,"",4,"",4,""
64,2012Q1,S08000017,"",S08000024,Urological,"",4,"",2,""
65,2012Q1,S08000017,"",S08000031,All Cancer Types,d,2,"",2,""
66,2012Q1,S08000017,"",S08000031,Head & Neck,"",2,"",2,""
67,2012Q1,S08000017,"",SB0801,All Cancer Types,d,1,"",1,""
68,2012Q1,S08000017,"",SB0801,Lung,"",1,"",1,""
69,2012Q1,S08000019,"",S08000019,All Cancer Types,d,136,"",124,""
70,2012Q1,S08000019,"",S08000019,Breast,"",25,"",21,""
71,2012Q1,S08000019,"",S08000019,Colorectal,"",22,"",20,""
72,2012Q1,S08000019,"",S08000019,Head & Neck,"",2,"",2,""
73,2012Q1,S08000019,"",S08000019,Lung,"",24,"",24,""
74,2012Q1,S08000019,"",S08000019,Lymphoma,"",5,"",5,""
75,2012Q1,S08000019,"",S08000019,Melanoma,"",5,"",5,""
76,2012Q1,S08000019,"",S08000019,Ovarian,"",1,"",1,""
77,2012Q1,S08000019,"",S08000019,Upper GI,"",16,"",16,""
78,2012Q1,S08000019,"",S08000019,Urological,"",36,"",30,""
79,2012Q1,S08000019,"",S08000024,All Cancer Types,d,1,"",1,""
80,2012Q1,S08000019,"",S08000024,Lung,"",1,"",1,""
81,2012Q1,S08000019,"",S08000031,All Cancer Types,d,30,"",28,""
82,2012Q1,S08000019,"",S08000031,Breast,"",2,"",2,""
83,2012Q1,S08000019,"",S08000031,Cervical,"",1,"",1,""
84,2012Q1,S08000019,"",S08000031,Colorectal,"",1,"",1,""
85,2012Q1,S08000019,"",S08000031,Head & Neck,"",4,"",3,""
86,2012Q1,S08000019,"",S08000031,Lung,"",15,"",14,""
87,2012Q1,S08000019,"",S08000031,Ovarian,"",3,"",3,""
88,2012Q1,S08000019,"",S08000031,Upper GI,"",4,"",4,""
89,2012Q1,S08000019,"",SB0801,All Cancer Types,d,3,"",3,""
90,2012Q1,S08000019,"",SB0801,Lung,"",3,"",3,""
91,2012Q1,S08000020,"",S08000020,All Cancer Types,d,280,"",254,""
92,2012Q1,S08000020,"",S08000020,Breast,"",86,"",86,""
93,2012Q1,S08000020,"",S08000020,Cervical,"",4,"",4,""
94,2012Q1,S08000020,"",S08000020,Colorectal,"",44,"",32,""
95,2012Q1,S08000020,"",S08000020,Head & Neck,"",10,"",9,""
96,2012Q1,S08000020,"",S08000020,Lung,"",45,"",42,""
97,2012Q1,S08000020,"",S08000020,Lymphoma,"",5,"",2,""
98,2012Q1,S08000020,"",S08000020,Melanoma,"",9,"",9,""
99,2012Q1,S08000020,"",S08000020,Ovarian,"",9,"",9,""
100,2012Q1,S08000020,"",S08000020,Upper GI,"",27,"",25,""
101,2012Q1,S08000020,"",S08000020,Urological,"",41,"",36,""
102,2012Q1,S08000022,"",S08000020,All Cancer Types,d,1,"",1,""
103,2012Q1,S08000022,"",S08000020,Head & Neck,"",1,"",1,""
104,2012Q1,S08000022,"",S08000022,All Cancer Types,d,153,"",147,""
105,2012Q1,S08000022,"",S08000022,Breast,"",36,"",36,""
106,2012Q1,S08000022,"",S08000022,Cervical,"",3,"",3,""
107,2012Q1,S08000022,"",S08000022,Colorectal,"",30,"",27,""
108,2012Q1,S08000022,"",S08000022,Head & Neck,"",8,"",7,""
109,2012Q1,S08000022,"",S08000022,Lung,"",26,"",25,""
110,2012Q1,S08000022,"",S08000022,Lymphoma,"",5,"",5,""
111,2012Q1,S08000022,"",S08000022,Melanoma,"",8,"",8,""
112,2012Q1,S08000022,"",S08000022,Ovarian,"",2,"",2,""
113,2012Q1,S08000022,"",S08000022,Upper GI,"",19,"",19,""
114,2012Q1,S08000022,"",S08000022,Urological,"",16,"",15,""
115,2012Q1,S08000022,"",S08000024,All Cancer Types,d,2,"",2,""
116,2012Q1,S08000022,"",S08000024,Breast,"",1,"",1,""
117,2012Q1,S08000022,"",S08000024,Melanoma,"",1,"",1,""
118,2012Q1,S08000022,"",S08000031,All Cancer Types,d,6,"",6,""
119,2012Q1,S08000022,"",S08000031,Lung,"",3,"",3,""
120,2012Q1,S08000022,"",S08000031,Upper GI,"",1,"",1,""
121,2012Q1,S08000022,"",S08000031,Urological,"",2,"",2,""
122,2012Q1,S08000024,"",S08000016,All Cancer Types,d,4,"",4,""
123,2012Q1,S08000024,"",S08000016,Breast,"",4,"",4,""
124,2012Q1,S08000024,"",S08000019,All Cancer Types,d,1,"",1,""
125,2012Q1,S08000024,"",S08000019,Breast,"",1,"",1,""
126,2012Q1,S08000024,"",S08000024,All Cancer Types,d,554,"",531,""
127,2012Q1,S08000024,"",S08000024,Breast,"",161,"",161,""
128,2012Q1,S08000024,"",S08000024,Cervical,"",2,"",2,""
129,2012Q1,S08000024,"",S08000024,Colorectal,"",97,"",94,""
130,2012Q1,S08000024,"",S08000024,Head & Neck,"",16,"",14,""
131,2012Q1,S08000024,"",S08000024,Lung,"",101,"",95,""
132,2012Q1,S08000024,"",S08000024,Lymphoma,"",14,"",14,""
133,2012Q1,S08000024,"",S08000024,Melanoma,"",23,"",22,""
134,2012Q1,S08000024,"",S08000024,Ovarian,"",13,"",12,""
135,2012Q1,S08000024,"",S08000024,Upper GI,"",32,"",32,""
136,2012Q1,S08000024,"",S08000024,Urological,"",95,"",85,""
137,2012Q1,S08000024,"",S08000029,All Cancer Types,d,3,"",3,""
138,2012Q1,S08000024,"",S08000029,Breast,"",3,"",3,""
139,2012Q1,S08000025,"",S08000020,All Cancer Types,d,4,"",2,""
140,2012Q1,S08000025,"",S08000020,Breast,"",1,"",1,""
141,2012Q1,S08000025,"",S08000020,Colorectal,"",2,"",1,""
142,2012Q1,S08000025,"",S08000020,Upper GI,"",1,"",0,""
143,2012Q1,S08000025,"",S08000025,All Cancer Types,d,3,"",3,""
144,2012Q1,S08000025,"",S08000025,Colorectal,"",2,"",2,""
145,2012Q1,S08000025,"",S08000025,Urological,"",1,"",1,""
146,2012Q1,S08000026,"",S08000020,All Cancer Types,d,6,"",5,""
147,2012Q1,S08000026,"",S08000020,Colorectal,"",2,"",1,""
148,2012Q1,S08000026,"",S08000020,Lung,"",2,"",2,""
149,2012Q1,S08000026,"",S08000020,Lymphoma,"",1,"",1,""
150,2012Q1,S08000026,"",S08000020,Urological,"",1,"",1,""
151,2012Q1,S08000026,"",S08000026,All Cancer Types,d,10,"",10,""
152,2012Q1,S08000026,"",S08000026,Breast,"",1,"",1,""
153,2012Q1,S08000026,"",S08000026,Colorectal,"",4,"",4,""
154,2012Q1,S08000026,"",S08000026,Lung,"",3,"",3,""
155,2012Q1,S08000026,"",S08000026,Melanoma,"",1,"",1,""
156,2012Q1,S08000026,"",S08000026,Upper GI,"",1,"",1,""
157,2012Q1,S08000028,"",S08000022,All Cancer Types,d,1,"",1,""
158,2012Q1,S08000028,"",S08000022,Colorectal,"",1,"",1,""
159,2012Q1,S08000028,"",S08000028,All Cancer Types,d,10,"",10,""
160,2012Q1,S08000028,"",S08000028,Colorectal,"",2,"",2,""
161,2012Q1,S08000028,"",S08000028,Lung,"",5,"",5,""
162,2012Q1,S08000028,"",S08000028,Upper GI,"",2,"",2,""
163,2012Q1,S08000028,"",S08000028,Urological,"",1,"",1,""
164,2012Q1,S08000028,"",SB0801,All Cancer Types,d,2,"",2,""
165,2012Q1,S08000028,"",SB0801,Lung,"",1,"",1,""
166,2012Q1,S08000028,"",SB0801,Upper GI,"",1,"",1,""
167,2012Q1,S08000029,"",S08000024,All Cancer Types,d,28,"",22,""
168,2012Q1,S08000029,"",S08000024,Breast,"",1,"",1,""
169,2012Q1,S08000029,"",S08000024,Cervical,"",2,"",1,""
170,2012Q1,S08000029,"",S08000024,Colorectal,"",3,"",2,""
171,2012Q1,S08000029,"",S08000024,Head & Neck,"",3,"",3,""
172,2012Q1,S08000029,"",S08000024,Lung,"",14,"",11,""
173,2012Q1,S08000029,"",S08000024,Lymphoma,"",1,"",1,""
174,2012Q1,S08000029,"",S08000024,Ovarian,"",1,"",1,""
175,2012Q1,S08000029,"",S08000024,Urological,"",3,"",2,""
176,2012Q1,S08000029,"",S08000029,All Cancer Types,d,160,"",150,""
177,2012Q1,S08000029,"",S08000029,Breast,"",23,"",23,""
178,2012Q1,S08000029,"",S08000029,Cervical,"",1,"",1,""
179,2012Q1,S08000029,"",S08000029,Colorectal,"",32,"",27,""
180,2012Q1,S08000029,"",S08000029,Head & Neck,"",2,"",2,""
181,2012Q1,S08000029,"",S08000029,Lung,"",41,"",41,""
182,2012Q1,S08000029,"",S08000029,Lymphoma,"",6,"",5,""
183,2012Q1,S08000029,"",S08000029,Melanoma,"",5,"",5,""
184,2012Q1,S08000029,"",S08000029,Ovarian,"",4,"",2,""
185,2012Q1,S08000029,"",S08000029,Upper GI,"",17,"",17,""
186,2012Q1,S08000029,"",S08000029,Urological,"",29,"",27,""
187,2012Q1,S08000029,"",S08000030,All Cancer Types,d,3,"",3,""
188,2012Q1,S08000029,"",S08000030,Lung,"",3,"",3,""
189,2012Q1,S08000030,"",S08000020,All Cancer Types,d,1,"",1,""
190,2012Q1,S08000030,"",S08000020,Lung,"",1,"",1,""
191,2012Q1,S08000030,"",S08000024,All Cancer Types,d,4,"",3,""
192,2012Q1,S08000030,"",S08000024,Lung,"",4,"",3,""
193,2012Q1,S08000030,"",S08000030,All Cancer Types,d,218,"",209,""
194,2012Q1,S08000030,"",S08000030,Breast,"",67,"",67,""
195,2012Q1,S08000030,"",S08000030,Cervical,"",2,"",2,""
196,2012Q1,S08000030,"",S08000030,Colorectal,"",42,"",37,""
197,2012Q1,S08000030,"",S08000030,Head & Neck,"",8,"",7,""
198,2012Q1,S08000030,"",S08000030,Lung,"",35,"",34,""
199,2012Q1,S08000030,"",S08000030,Lymphoma,"",5,"",5,""
200,2012Q1,S08000030,"",S08000030,Melanoma,"",10,"",10,""
201,2012Q1,S08000030,"",S08000030,Ovarian,"",4,"",4,""
202,2012Q1,S08000030,"",S08000030,Upper GI,"",13,"",13,""
203,2012Q1,S08000030,"",S08000030,Urological,"",32,"",30,""
204,2012Q1,S08000031,"",S08000022,All Cancer Types,d,2,"",1,""
205,2012Q1,S08000031,"",S08000022,Colorectal,"",2,"",1,""
206,2012Q1,S08000031,"",S08000024,All Cancer Types,d,1,"",1,""
207,2012Q1,S08000031,"",S08000024,Urological,"",1,"",1,""
208,2012Q1,S08000031,"",S08000031,All Cancer Types,d,680,"",649,""
209,2012Q1,S08000031,"",S08000031,Breast,"",203,"",203,""
210,2012Q1,S08000031,"",S08000031,Cervical,"",6,"",6,""
211,2012Q1,S08000031,"",S08000031,Colorectal,"",100,"",93,""
212,2012Q1,S08000031,"",S08000031,Head & Neck,"",33,"",32,""
213,2012Q1,S08000031,"",S08000031,Lung,"",104,"",89,""
214,2012Q1,S08000031,"",S08000031,Lymphoma,"",18,"",18,""
215,2012Q1,S08000031,"",S08000031,Melanoma,"",25,"",25,""
216,2012Q1,S08000031,"",S08000031,Ovarian,"",6,"",6,""
217,2012Q1,S08000031,"",S08000031,Upper GI,"",98,"",92,""
218,2012Q1,S08000031,"",S08000031,Urological,"",87,"",85,""
219,2012Q1,S08000031,"",S08000032,All Cancer Types,d,4,"",4,""
220,2012Q1,S08000031,"",S08000032,Breast,"",4,"",4,""
221,2012Q1,S08000031,"",SB0801,All Cancer Types,d,9,"",7,""
222,2012Q1,S08000031,"",SB0801,Lung,"",9,"",7,""
223,2012Q1,S08000032,"",S08000031,All Cancer Types,d,49,"",46,""
224,2012Q1,S08000032,"",S08000031,Breast,"",1,"",1,""
225,2012Q1,S08000032,"",S08000031,Cervical,"",5,"",5,""
226,2012Q1,S08000032,"",S08000031,Colorectal,"",6,"",4,""
227,2012Q1,S08000032,"",S08000031,Head & Neck,"",1,"",1,""
228,2012Q1,S08000032,"",S08000031,Lung,"",22,"",21,""
229,2012Q1,S08000032,"",S08000031,Melanoma,"",3,"",3,""
230,2012Q1,S08000032,"",S08000031,Ovarian,"",4,"",4,""
231,2012Q1,S08000032,"",S08000031,Upper GI,"",5,"",5,""
232,2012Q1,S08000032,"",S08000031,Urological,"",2,"",2,""
233,2012Q1,S08000032,"",S08000032,All Cancer Types,d,218,"",212,""
234,2012Q1,S08000032,"",S08000032,Breast,"",52,"",52,""
235,2012Q1,S08000032,"",S08000032,Cervical,"",3,"",2,""
236,2012Q1,S08000032,"",S08000032,Colorectal,"",44,"",43,""
237,2012Q1,S08000032,"",S08000032,Head & Neck,"",4,"",4,""
238,2012Q1,S08000032,"",S08000032,Lung,"",32,"",32,""
239,2012Q1,S08000032,"",S08000032,Lymphoma,"",4,"",4,""
240,2012Q1,S08000032,"",S08000032,Melanoma,"",13,"",13,""
241,2012Q1,S08000032,"",S08000032,Ovarian,"",2,"",2,""
242,2012Q1,S08000032,"",S08000032,Upper GI,"",23,"",22,""
243,2012Q1,S08000032,"",S08000032,Urological,"",41,"",38,""
244,2012Q1,S08000032,"",SB0801,All Cancer Types,d,9,"",9,""
245,2012Q1,S08000032,"",SB0801,Lung,"",9,"",9,""
246,2012Q1,S92000003,d,S08000015,All Cancer Types,d,169,"",164,""
247,2012Q1,S92000003,d,S08000015,Breast,"",52,"",52,""
248,2012Q1,S92000003,d,S08000015,Cervical,"",2,"",2,""
249,2012Q1,S92000003,d,S08000015,Colorectal,"",31,"",29,""
250,2012Q1,S92000003,d,S08000015,Head & Neck,"",2,"",2,""
251,2012Q1,S92000003,d,S08000015,Lung,"",34,"",33,""
252,2012Q1,S92000003,d,S08000015,Lymphoma,"",10,"",9,""
253,2012Q1,S92000003,d,S08000015,Melanoma,"",2,"",2,""
254,2012Q1,S92000003,d,S08000015,Ovarian,"",2,"",2,""
255,2012Q1,S92000003,d,S08000015,Upper GI,"",22,"",22,""
256,2012Q1,S92000003,d,S08000015,Urological,"",12,"",11,""
257,2012Q1,S92000003,d,S08000016,All Cancer Types,d,65,"",65,""
258,2012Q1,S92000003,d,S08000016,Breast,"",10,"",10,""
259,2012Q1,S92000003,d,S08000016,Cervical,"",1,"",1,""
260,2012Q1,S92000003,d,S08000016,Colorectal,"",13,"",13,""
261,2012Q1,S92000003,d,S08000016,Head & Neck,"",1,"",1,""
262,2012Q1,S92000003,d,S08000016,Lung,"",13,"",13,""
263,2012Q1,S92000003,d,S08000016,Lymphoma,"",3,"",3,""
264,2012Q1,S92000003,d,S08000016,Melanoma,"",3,"",3,""
265,2012Q1,S92000003,d,S08000016,Ovarian,"",2,"",2,""
266,2012Q1,S92000003,d,S08000016,Upper GI,"",6,"",6,""
267,2012Q1,S92000003,d,S08000016,Urological,"",13,"",13,""
268,2012Q1,S92000003,d,S08000017,All Cancer Types,d,85,"",85,""
269,2012Q1,S92000003,d,S08000017,Breast,"",10,"",10,""
270,2012Q1,S92000003,d,S08000017,Colorectal,"",20,"",20,""
271,2012Q1,S92000003,d,S08000017,Head & Neck,"",2,"",2,""
272,2012Q1,S92000003,d,S08000017,Lung,"",12,"",12,""
273,2012Q1,S92000003,d,S08000017,Lymphoma,"",2,"",2,""
274,2012Q1,S92000003,d,S08000017,Melanoma,"",3,"",3,""
275,2012Q1,S92000003,d,S08000017,Ovarian,"",2,"",2,""
276,2012Q1,S92000003,d,S08000017,Upper GI,"",17,"",17,""
277,2012Q1,S92000003,d,S08000017,Urological,"",17,"",17,""
278,2012Q1,S92000003,d,S08000019,All Cancer Types,d,137,"",125,""
279,2012Q1,S92000003,d,S08000019,Breast,"",26,"",22,""
280,2012Q1,S92000003,d,S08000019,Colorectal,"",22,"",20,""
281,2012Q1,S92000003,d,S08000019,Head & Neck,"",2,"",2,""
282,2012Q1,S92000003,d,S08000019,Lung,"",24,"",24,""
283,2012Q1,S92000003,d,S08000019,Lymphoma,"",5,"",5,""
284,2012Q1,S92000003,d,S08000019,Melanoma,"",5,"",5,""
285,2012Q1,S92000003,d,S08000019,Ovarian,"",1,"",1,""
286,2012Q1,S92000003,d,S08000019,Upper GI,"",16,"",16,""
287,2012Q1,S92000003,d,S08000019,Urological,"",36,"",30,""
288,2012Q1,S92000003,d,S08000020,All Cancer Types,d,293,"",264,""
289,2012Q1,S92000003,d,S08000020,Breast,"",87,"",87,""
290,2012Q1,S92000003,d,S08000020,Cervical,"",4,"",4,""
291,2012Q1,S92000003,d,S08000020,Colorectal,"",48,"",34,""
292,2012Q1,S92000003,d,S08000020,Head & Neck,"",11,"",10,""
293,2012Q1,S92000003,d,S08000020,Lung,"",49,"",46,""
294,2012Q1,S92000003,d,S08000020,Lymphoma,"",6,"",3,""
295,2012Q1,S92000003,d,S08000020,Melanoma,"",9,"",9,""
296,2012Q1,S92000003,d,S08000020,Ovarian,"",9,"",9,""
297,2012Q1,S92000003,d,S08000020,Upper GI,"",28,"",25,""
298,2012Q1,S92000003,d,S08000020,Urological,"",42,"",37,""
299,2012Q1,S92000003,d,S08000022,All Cancer Types,d,156,"",149,""
300,2012Q1,S92000003,d,S08000022,Breast,"",36,"",36,""
301,2012Q1,S92000003,d,S08000022,Cervical,"",3,"",3,""
302,2012Q1,S92000003,d,S08000022,Colorectal,"",33,"",29,""
303,2012Q1,S92000003,d,S08000022,Head & Neck,"",8,"",7,""
304,2012Q1,S92000003,d,S08000022,Lung,"",26,"",25,""
305,2012Q1,S92000003,d,S08000022,Lymphoma,"",5,"",5,""
306,2012Q1,S92000003,d,S08000022,Melanoma,"",8,"",8,""
307,2012Q1,S92000003,d,S08000022,Ovarian,"",2,"",2,""
308,2012Q1,S92000003,d,S08000022,Upper GI,"",19,"",19,""
309,2012Q1,S92000003,d,S08000022,Urological,"",16,"",15,""
310,2012Q1,S92000003,d,S08000024,All Cancer Types,d,616,"",583,""
311,2012Q1,S92000003,d,S08000024,Breast,"",167,"",167,""
312,2012Q1,S92000003,d,S08000024,Cervical,"",4,"",3,""
313,2012Q1,S92000003,d,S08000024,Colorectal,"",102,"",97,""
314,2012Q1,S92000003,d,S08000024,Head & Neck,"",21,"",19,""
315,2012Q1,S92000003,d,S08000024,Lung,"",125,"",115,""
316,2012Q1,S92000003,d,S08000024,Lymphoma,"",15,"",15,""
317,2012Q1,S92000003,d,S08000024,Melanoma,"",26,"",25,""
318,2012Q1,S92000003,d,S08000024,Ovarian,"",15,"",14,""
319,2012Q1,S92000003,d,S08000024,Upper GI,"",37,"",37,""
320,2012Q1,S92000003,d,S08000024,Urological,"",104,"",91,""
321,2012Q1,S92000003,d,S08000025,All Cancer Types,d,3,"",3,""
322,2012Q1,S92000003,d,S08000025,Colorectal,"",2,"",2,""
323,2012Q1,S92000003,d,S08000025,Urological,"",1,"",1,""
324,2012Q1,S92000003,d,S08000026,All Cancer Types,d,10,"",10,""
325,2012Q1,S92000003,d,S08000026,Breast,"",1,"",1,""
326,2012Q1,S92000003,d,S08000026,Colorectal,"",4,"",4,""
327,2012Q1,S92000003,d,S08000026,Lung,"",3,"",3,""
328,2012Q1,S92000003,d,S08000026,Melanoma,"",1,"",1,""
329,2012Q1,S92000003,d,S08000026,Upper GI,"",1,"",1,""
330,2012Q1,S92000003,d,S08000028,All Cancer Types,d,10,"",10,""
331,2012Q1,S92000003,d,S08000028,Colorectal,"",2,"",2,""
332,2012Q1,S92000003,d,S08000028,Lung,"",5,"",5,""
333,2012Q1,S92000003,d,S08000028,Upper GI,"",2,"",2,""
334,2012Q1,S92000003,d,S08000028,Urological,"",1,"",1,""
335,2012Q1,S92000003,d,S08000029,All Cancer Types,d,163,"",153,""
336,2012Q1,S92000003,d,S08000029,Breast,"",26,"",26,""
337,2012Q1,S92000003,d,S08000029,Cervical,"",1,"",1,""
338,2012Q1,S92000003,d,S08000029,Colorectal,"",32,"",27,""
339,2012Q1,S92000003,d,S08000029,Head & Neck,"",2,"",2,""
340,2012Q1,S92000003,d,S08000029,Lung,"",41,"",41,""
341,2012Q1,S92000003,d,S08000029,Lymphoma,"",6,"",5,""
342,2012Q1,S92000003,d,S08000029,Melanoma,"",5,"",5,""
343,2012Q1,S92000003,d,S08000029,Ovarian,"",4,"",2,""
344,2012Q1,S92000003,d,S08000029,Upper GI,"",17,"",17,""
345,2012Q1,S92000003,d,S08000029,Urological,"",29,"",27,""
346,2012Q1,S92000003,d,S08000030,All Cancer Types,d,221,"",212,""
347,2012Q1,S92000003,d,S08000030,Breast,"",67,"",67,""
348,2012Q1,S92000003,d,S08000030,Cervical,"",2,"",2,""
349,2012Q1,S92000003,d,S08000030,Colorectal,"",42,"",37,""
350,2012Q1,S92000003,d,S08000030,Head & Neck,"",8,"",7,""
351,2012Q1,S92000003,d,S08000030,Lung,"",38,"",37,""
352,2012Q1,S92000003,d,S08000030,Lymphoma,"",5,"",5,""
353,2012Q1,S92000003,d,S08000030,Melanoma,"",10,"",10,""
354,2012Q1,S92000003,d,S08000030,Ovarian,"",4,"",4,""
355,2012Q1,S92000003,d,S08000030,Upper GI,"",13,"",13,""
356,2012Q1,S92000003,d,S08000030,Urological,"",32,"",30,""
357,2012Q1,S92000003,d,S08000031,All Cancer Types,d,793,"",752,""
358,2012Q1,S92000003,d,S08000031,Breast,"",211,"",209,""
359,2012Q1,S92000003,d,S08000031,Cervical,"",13,"",13,""
360,2012Q1,S92000003,d,S08000031,Colorectal,"",108,"",99,""
361,2012Q1,S92000003,d,S08000031,Head & Neck,"",41,"",39,""
362,2012Q1,S92000003,d,S08000031,Lung,"",151,"",134,""
363,2012Q1,S92000003,d,S08000031,Lymphoma,"",18,"",18,""
364,2012Q1,S92000003,d,S08000031,Melanoma,"",29,"",28,""
365,2012Q1,S92000003,d,S08000031,Ovarian,"",16,"",15,""
366,2012Q1,S92000003,d,S08000031,Upper GI,"",114,"",107,""
367,2012Q1,S92000003,d,S08000031,Urological,"",92,"",90,""
368,2012Q1,S92000003,d,S08000032,All Cancer Types,d,222,"",216,""
369,2012Q1,S92000003,d,S08000032,Breast,"",56,"",56,""
370,2012Q1,S92000003,d,S08000032,Cervical,"",3,"",2,""
371,2012Q1,S92000003,d,S08000032,Colorectal,"",44,"",43,""
372,2012Q1,S92000003,d,S08000032,Head & Neck,"",4,"",4,""
373,2012Q1,S92000003,d,S08000032,Lung,"",32,"",32,""
374,2012Q1,S92000003,d,S08000032,Lymphoma,"",4,"",4,""
375,2012Q1,S92000003,d,S08000032,Melanoma,"",13,"",13,""
376,2012Q1,S92000003,d,S08000032,Ovarian,"",2,"",2,""
377,2012Q1,S92000003,d,S08000032,Upper GI,"",23,"",22,""
378,2012Q1,S92000003,d,S08000032,Urological,"",41,"",38,""
379,2012Q1,S92000003,d,SB0801,All Cancer Types,d,26,"",24,""
380,2012Q1,S92000003,d,SB0801,Lung,"",25,"",23,""
381,2012Q1,S92000003,d,SB0801,Upper GI,"",1,"",1,""
382,2012Q2,S08000015,"",S08000015,All Cancer Types,d,203,"",197,""
383,2012Q2,S08000015,"",S08000015,Breast,"",70,"",70,""
384,2012Q2,S08000015,"",S08000015,Cervical,"",3,"",3,""
